cty_st,tweets_2010,tweets_2011,tweets_2012,tweets_2013,tweets_2014,tweets_2015,tweets_2016,tweets_2017,tweets_2018,tweets_2019,Ctyname,Stname,Cases2010,Cases2011,Cases2012,Cases2013,Cases2014,Cases2015,Cases2016,Cases2017,Cases2018,Cases2019
"Allegheny County,Pennsylvania",48.0,62.0,101.0,194.0,174.0,324.0,212.0,403.0,394.0,354.0,Allegheny County,Pennsylvania,18,1,10,1,822,175,403,432,404,294
"Allen County,Indiana",0.0,5.0,13.0,14.0,13.0,18.0,9.0,12.0,15.0,13.0,Allen County,Indiana,2,3,0,2,2,2,0,2,1,2
"Allen County,Kansas",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,Allen County,Kansas,0,0,0,0,0,0,0,0,2,2
"Allen County,Ohio",0.0,0.0,0.0,1.0,1.0,5.0,4.0,7.0,3.0,4.0,Allen County,Ohio,0,0,3,1,0,0,1,0,0,1
"Allendale County,South Carolina",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Allendale County,South Carolina,0,0,0,0,0,0,0,0,0,0
"Alpena County,Michigan",0.0,0.0,0.0,1.0,0.0,4.0,3.0,16.0,0.0,0.0,Alpena County,Michigan,0,1,0,0,0,0,0,0,1,0
"Amador County,California",1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,2.0,Amador County,California,1,0,0,1,0,2,0,0,0,0
"Amelia County,Virginia",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Amelia County,Virginia,0,0,1,1,1,1,2,2,2,0
"Amherst County,Virginia",0.0,4.0,2.0,0.0,1.0,2.0,1.0,1.0,0.0,0.0,Amherst County,Virginia,5,6,13,5,4,9,4,4,2,7
"Anchorage Municipality,Alaska",1.0,7.0,7.0,5.0,10.0,29.0,21.0,8.0,7.0,12.0,Anchorage Municipality,Alaska,0,3,1,5,4,2,5,6,3,3
"Anderson County,Kansas",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Anderson County,Kansas,0,0,1,0,0,0,0,0,0,0
"Anderson County,South Carolina",0.0,1.0,0.0,3.0,0.0,2.0,11.0,4.0,1.0,0.0,Anderson County,South Carolina,0,0,1,1,1,3,0,0,0,1
"Anderson County,Tennessee",1.0,0.0,0.0,2.0,2.0,0.0,5.0,2.0,2.0,2.0,Anderson County,Tennessee,2,0,2,0,0,0,0,0,0,1
"Andrews County,Texas",0.0,0.0,1.0,0.0,20.0,34.0,52.0,2.0,23.0,16.0,Andrews County,Texas,0,0,0,0,0,0,0,0,0,0
"Androscoggin County,Maine",3.0,2.0,4.0,6.0,8.0,8.0,4.0,79.0,16.0,20.0,Androscoggin County,Maine,38,58,80,69,94,49,92,96,68,98
"Angelina County,Texas",0.0,0.0,0.0,0.0,3.0,9.0,5.0,1.0,2.0,4.0,Angelina County,Texas,2,2,3,1,0,0,0,0,0,0
"Anne Arundel County,Maryland",33.0,31.0,59.0,77.0,36.0,47.0,54.0,65.0,35.0,43.0,Anne Arundel County,Maryland,114,89,112,97,116,107,176,126,90,110
"Anoka County,Minnesota",4.0,5.0,3.0,8.0,3.0,10.0,7.0,5.0,3.0,3.0,Anoka County,Minnesota,164,163,124,192,112,128,137,173,94,102
"Antrim County,Michigan",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Antrim County,Michigan,0,0,1,0,0,0,0,1,1,2
"Apache County,Arizona",0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,Apache County,Arizona,0,0,0,1,0,0,0,0,0,0
"Appanoose County,Iowa",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Appanoose County,Iowa,0,0,0,0,0,0,0,0,1,3
"Appomattox County,Virginia",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,Appomattox County,Virginia,1,3,0,4,1,2,0,0,0,1
"Aransas County,Texas",0.0,0.0,2.0,2.0,1.0,2.0,0.0,2.0,0.0,1.0,Aransas County,Texas,0,0,0,0,0,1,0,0,0,1
"Arapahoe County,Colorado",1.0,1.0,1.0,3.0,4.0,8.0,6.0,26.0,13.0,7.0,Arapahoe County,Colorado,1,0,0,0,0,0,0,0,1,1
"Arenac County,Michigan",2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Arenac County,Michigan,0,0,0,0,0,0,0,0,0,0
"Arlington County,Virginia",18.0,18.0,39.0,20.0,25.0,27.0,34.0,53.0,54.0,37.0,Arlington County,Virginia,16,21,10,34,28,24,5,1,10,12
"Armstrong County,Pennsylvania",0.0,0.0,2.0,2.0,1.0,3.0,1.0,2.0,1.0,4.0,Armstrong County,Pennsylvania,73,146,136,232,174,211,268,215,216,88
"Armstrong County,Texas",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Armstrong County,Texas,0,0,0,0,0,0,0,0,0,0
"Aroostook County,Maine",0.0,0.0,3.0,6.0,6.0,1.0,2.0,0.0,3.0,2.0,Aroostook County,Maine,4,3,1,3,5,2,1,8,4,2
"Ascension Parish,Louisiana",0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,Ascension Parish,Louisiana,0,0,1,0,0,0,0,1,0,0
"Ashe County,North Carolina",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,Ashe County,North Carolina,2,0,0,0,2,4,10,8,15,39
"Ashland County,Ohio",0.0,0.0,1.0,0.0,6.0,2.0,3.0,6.0,1.0,3.0,Ashland County,Ohio,0,0,2,0,4,5,0,0,2,3
