cty_st,tweets_2010,tweets_2011,tweets_2012,tweets_2013,tweets_2014,tweets_2015,tweets_2016,tweets_2017,tweets_2018,tweets_2019,Ctyname,Stname,Cases2010,Cases2011,Cases2012,Cases2013,Cases2014,Cases2015,Cases2016,Cases2017,Cases2018,Cases2019
"Florida,Florida",0,0,0,0,0,0,0,0,0,0,Florida,Florida,0,0,0,0,0,0,0,0,0,0
"Appling County,Georgia",0,0,0,0,0,0,0,0,0,0,Appling County,Georgia,0,0,0,0,0,0,0,0,0,0
"Atkinson County,Georgia",0,0,0,0,0,0,0,0,0,0,Atkinson County,Georgia,0,0,0,0,0,0,0,0,0,0
"Bacon County,Georgia",0,0,0,0,0,0,0,0,0,0,Bacon County,Georgia,0,0,0,0,0,0,0,0,0,0
"Baker County,Georgia",0,0,0,0,0,0,0,0,0,0,Baker County,Georgia,0,0,0,0,0,0,0,0,0,0
"Baldwin County,Georgia",0,0,0,0,0,0,0,0,0,0,Baldwin County,Georgia,0,0,0,0,0,0,0,0,0,0
"Banks County,Georgia",0,0,3,0,0,2,0,0,0,0,Banks County,Georgia,0,0,0,0,0,0,0,0,0,0
"Barrow County,Georgia",0,0,0,0,2,0,0,0,0,1,Barrow County,Georgia,0,0,1,0,0,0,0,0,0,0
"Bartow County,Georgia",0,3,0,1,0,0,2,2,2,5,Bartow County,Georgia,0,0,0,0,0,0,0,0,0,0
"Ben Hill County,Georgia",0,0,0,0,0,0,0,0,0,0,Ben Hill County,Georgia,0,0,1,0,0,0,0,0,0,0
"Berrien County,Georgia",0,0,0,0,0,0,0,0,0,0,Berrien County,Georgia,0,0,0,0,0,0,0,0,0,0
"Bibb County,Georgia",1,1,1,1,1,10,3,7,12,8,Bibb County,Georgia,0,1,1,0,0,0,0,1,0,0
"Bleckley County,Georgia",0,0,0,0,0,1,1,0,0,0,Bleckley County,Georgia,0,0,0,0,0,0,0,0,0,0
"Brantley County,Georgia",0,0,0,0,0,0,0,0,0,0,Brantley County,Georgia,0,0,0,0,0,0,0,0,0,0
"Brooks County,Georgia",0,0,0,0,0,0,0,1,0,0,Brooks County,Georgia,0,0,0,0,0,0,0,0,0,0
"Bryan County,Georgia",0,0,0,0,0,0,1,0,0,0,Bryan County,Georgia,0,0,1,0,0,0,0,0,0,0
"Bulloch County,Georgia",0,3,0,0,0,1,1,1,1,1,Bulloch County,Georgia,0,0,0,0,0,0,0,0,0,0
"Burke County,Georgia",0,0,0,0,0,0,0,0,0,0,Burke County,Georgia,0,0,0,0,0,0,0,0,0,0
"Butts County,Georgia",0,0,0,0,0,0,0,0,1,1,Butts County,Georgia,0,0,0,0,0,0,0,0,0,0
"Calhoun County,Georgia",0,0,0,0,0,0,0,0,0,0,Calhoun County,Georgia,0,0,0,0,0,0,0,0,0,0
"Camden County,Georgia",0,0,1,0,1,0,4,1,0,0,Camden County,Georgia,0,0,0,0,0,0,0,0,0,1
"Candler County,Georgia",0,0,0,0,0,0,0,0,0,0,Candler County,Georgia,0,0,0,0,0,0,0,0,0,0
"Carroll County,Georgia",0,0,0,1,1,0,3,4,0,0,Carroll County,Georgia,0,0,1,0,0,0,0,0,0,0
"Catoosa County,Georgia",0,0,1,1,0,0,1,1,0,1,Catoosa County,Georgia,0,0,0,0,0,0,2,0,0,0
"Charlton County,Georgia",0,0,0,1,0,0,0,0,3,0,Charlton County,Georgia,0,0,0,0,0,0,0,0,0,0
"Chatham County,Georgia",3,7,62,105,169,132,81,29,28,14,Chatham County,Georgia,0,0,0,0,0,0,0,1,1,0
"Chattahoochee County,Georgia",0,1,1,1,0,0,2,2,0,2,Chattahoochee County,Georgia,0,0,0,0,0,0,0,0,0,0
"Chattooga County,Georgia",0,1,0,0,0,0,0,0,0,0,Chattooga County,Georgia,0,0,0,0,0,0,0,0,0,0
"Cherokee County,Georgia",3,1,0,11,6,9,8,8,9,8,Cherokee County,Georgia,0,0,0,0,0,0,0,1,1,1
"Clarke County,Georgia",0,2,10,7,8,13,3,13,14,16,Clarke County,Georgia,0,0,0,0,0,0,0,0,0,0
"Clay County,Georgia",0,0,0,0,0,0,0,0,0,0,Clay County,Georgia,0,0,0,0,0,0,0,0,0,0
