17,5,5,2,15,14,8,6
10,4,1,2,10,17,1,3
28,6,7,11,12,17,6,7
37,8,14,10,25,49,13,16
56,20,17,20,26,44,22,29
157,83,62,51,102,126,76,58
194,83,45,50,131,155,81,93
73,50,34,25,59,80,48,24
43,21,10,11,30,34,11,13
25,14,6,6,10,16,11,14
38,12,10,6,27,15,16,5
20,6,2,2,13,12,4,7
17,7,5,6,14,12,3,3
7,6,1,3,9,11,3,6
11,19,8,3,13,10,11,5
22,14,4,9,23,20,7,14
47,24,14,17,26,41,11,12
62,34,22,31,47,69,52,48
55,32,10,19,37,68,30,23
36,16,9,13,28,40,15,14
25,20,8,6,15,28,16,7
22,9,6,6,10,16,12,10
22,3,1,10,14,19,8,9
10,8,2,2,6,12,2,2
9,5,1,4,9,6,6,2
12,2,1,3,10,7,1,2
11,6,1,6,11,7,,3
11,8,3,7,10,15,17,4
33,14,14,12,15,29,18,13
81,57,27,34,76,87,52,26
69,28,34,12,53,69,55,43
23,18,17,9,18,27,26,17
17,9,3,4,17,28,9,8
16,8,9,3,14,19,15,1
14,7,3,10,5,18,11,8
12,6,4,5,9,7,7,2
23,1,8,5,10,14,10,9
11,10,6,1,14,19,4,5
20,13,9,6,25,16,6,8
30,20,9,6,19,15,14,6
31,12,8,10,30,25,20,12
65,36,14,20,66,73,40,32
52,26,18,30,53,66,34,28
31,24,6,20,29,29,18,19
31,12,4,7,20,31,8,13
29,10,7,8,26,34,15,15
22,11,4,9,18,19,3,10
18,5,2,5,20,14,4,5
15,12,3,6,12,11,1,3
7,6,,3,8,4,7,3
8,9,3,2,3,4,5,3
8,9,6,6,11,13,6,8
25,16,5,8,18,20,22,9
74,62,37,46,81,87,66,52
134,73,66,50,101,136,66,63
62,36,22,24,52,48,39,20
39,35,22,12,43,23,18,12
47,20,12,18,29,28,19,8
22,11,9,6,23,19,5,3
9,4,2,1,11,13,1,1
9,8,6,5,14,9,8,1
5,6,2,5,7,6,5,2
13,6,4,3,14,10,7,4
20,13,8,8,19,12,10,5
31,12,16,10,39,31,19,12
99,74,28,32,104,89,68,38
104,79,32,41,98,104,58,43
61,40,16,22,50,55,21,16
26,11,18,7,37,36,13,15
37,20,20,14,34,31,12,10
19,15,14,6,32,15,6,8
12,7,3,1,13,8,3,5
13,6,4,6,8,12,3,1
7,9,4,5,14,1,6,1
10,11,3,3,12,5,4,3
7,10,3,18,20,16,4,7
29,19,12,20,32,27,21,18
99,66,29,44,97,77,33,47
111,100,58,55,119,143,65,63
63,46,40,40,78,56,28,25
37,27,20,14,23,36,16,8
24,16,19,17,32,26,13,8
17,14,7,9,19,10,12,10
12,11,3,12,19,13,6,3
9,6,3,4,8,9,5,3
16,3,6,5,10,7,3,5
18,11,6,9,18,20,5,9
28,16,9,7,17,13,11,8
32,27,13,9,40,21,10,10
63,43,22,41,93,58,30,35
73,65,35,41,91,69,44,48
10,15,2,6,11,11,17,12
19,17,18,15,33,16,12,6
28,9,4,10,12,7,5,6
22,15,12,9,20,20,11,6
2,2,0,0,1,2,3,1
24,12,7,6,19,19,6,10
15,6,5,4,13,7,0,1
25,15,10,9,18,17,6,6
24,17,19,18,26,26,14,11
56,34,27,18,44,23,11,9
57,39,32,21,64,25,26,19
62,53,46,22,70,30,27,28
65,38,29,22,39,38,15,9
27,22,14,10,36,20,10,9
22,14,9,7,19,26,8,7
23,24,12,15,22,21,4,11
18,8,11,11,6,16,5,2
18,11,12,12,24,30,9,8
8,15,4,9,20,20,11,6
18,5,6,6,16,21,12,6
26,21,12,14,15,20,8,16
24,36,18,30,45,37,20,19
64,49,37,54,82,80,29,27
65,43,24,42,71,84,23,39
32,16,5,20,21,39,8,18
10,3,3,1,12,14,4,1
10,14,6,6,19,24,9,4
11,2,2,6,6,11,4,4
3,2,2,0,2,7,1,1
